created_at,pat_id,order_id
2021-05-05T21:49:45.211447Z,2973,9685
2020-06-18T11:07:38Z,517,4351
2021-01-11T23:09:47.804249Z,3322,7154
2020-04-16T17:49:16Z,655,3463
2021-07-28T17:11:29.75119Z,369,12497
2021-07-21T06:37:47.112315Z,4301,12165
2021-08-19T17:23:30.915171Z,7943,13574
2021-05-11T17:03:00.290222Z,2344,9771
2021-08-09T01:29:17.467511Z,6803,13030
2021-06-30T04:26:18.394768Z,1948,11359
2020-05-07T16:01:36Z,915,3717
2021-05-17T20:42:05.629288Z,5072,9890
2021-06-24T16:35:59.754598Z,479,11026
2021-08-14T15:03:27.131537Z,4177,13344
2020-06-05T09:19:41Z,339,4199
2021-03-11T15:51:39.95372Z,4237,8475
2020-12-22T14:47:52.218868Z,511,6786
2021-07-05T22:08:11.911724Z,4207,11570
2020-12-09T22:46:44.869874Z,3011,6581
2021-08-01T02:55:57.876063Z,7252,12686
2021-08-26T16:17:39.292995Z,6789,13887
2020-07-31T17:02:46.684736Z,914,4893
2020-08-10T13:45:19.83046Z,900,4967
2021-02-19T21:51:32.444594Z,3690,8009
2021-08-09T23:28:25.226713Z,7559,13094
2021-05-03T20:32:25.507512Z,3657,9623
2020-12-13T23:40:31.63684Z,3041,6631
2021-05-04T18:12:47.965146Z,2688,9647
2021-02-04T19:50:50.229793Z,1045,7691
2021-03-03T16:46:08.039319Z,4139,8270
2020-07-14T17:17:57.018037Z,760,4719
2021-06-03T00:05:34.263147Z,4733,11152
2021-09-02T05:40:00.568401Z,8439,14174
2021-07-05T18:40:28.593519Z,4237,11562
2020-12-30T16:29:47.215764Z,543,6912
2021-05-05T15:19:36.72071Z,420,9661
2021-03-03T15:31:15.287979Z,4128,8254
2021-08-05T18:00:47.34811Z,780,12905
2021-07-02T15:43:28.877478Z,6178,11483
2020-11-25T02:04:06.979516Z,2827,6331
2021-04-05T18:45:47.392232Z,2984,8954
2021-03-09T17:07:06.267803Z,274,8416
2020-08-04T16:32:09.806036Z,586,4921
2021-08-26T22:23:55.268269Z,1949,13912
2021-06-03T00:52:55.744713Z,4377,10352
2021-02-15T21:31:57.34336Z,3943,7900
2021-03-03T16:38:52.58433Z,4136,8267
2021-01-18T22:11:22.750587Z,837,7292
2020-05-15T11:34:48Z,993,3882
2021-01-12T17:47:19.674719Z,3470,7184
2020-12-04T16:38:42.76055Z,2764,6495
2021-06-02T16:06:00.212245Z,2973,10330
2020-11-05T18:41:04.765393Z,1935,6086
2021-06-29T14:37:38.627802Z,6055,11317
2020-11-05T21:15:35.08634Z,2678,6091
2021-02-25T16:04:07.60449Z,4055,8118
2021-07-19T16:49:46.382028Z,6722,12074
2021-07-20T20:36:59.880606Z,6788,12145
2021-08-04T17:52:33.8949Z,7358,12836
2021-01-11T19:40:18.838748Z,3449,7141
2021-03-08T15:53:18.745765Z,4191,8366
2020-09-24T04:58:20.962913Z,1083,5628
2021-04-23T14:54:06.388039Z,4763,9413
2021-06-28T15:53:38.566628Z,6021,11265
2020-12-03T18:47:28.94366Z,2920,6473
2021-02-05T18:55:29.340242Z,3810,7711
2021-05-29T15:56:51.037255Z,720,10188
2021-01-28T16:56:24.348508Z,3689,7520
2021-07-28T01:41:26.878686Z,7085,12475
2020-11-24T23:37:45.893891Z,2675,6329
2021-03-29T16:47:34.048205Z,4406,8814
2020-04-13T13:30:30Z,713,3374
2021-07-28T15:16:17.914919Z,1774,12486
2021-02-24T15:59:25.040956Z,3901,8097
2020-07-13T17:15:59.370027Z,1733,4702
2020-09-12T20:02:00.9034Z,2180,5352
2020-05-05T22:58:46Z,890,3682
2021-03-30T19:28:04.003638Z,4264,8841
2021-02-19T01:40:01.478348Z,3976,7985
2020-08-06T16:30:46.196487Z,582,4948
2021-07-26T19:25:48.559356Z,505,12415
2021-03-19T15:21:23.861936Z,420,8624
2021-01-21T15:17:52.848059Z,2682,7372
2020-09-16T04:16:22.046008Z,2258,5511
2020-08-07T19:02:44.822984Z,340,4959
2021-03-08T15:31:25.982967Z,4188,8362
2020-12-18T17:58:47.326023Z,371,6723
2021-01-29T19:01:29.268831Z,2887,7566
2021-04-19T16:21:57.023823Z,837,9282
2021-05-24T22:11:33.351646Z,5199,10064
2021-08-16T17:16:22.87359Z,7831,13419
2020-12-23T20:15:40.76146Z,2322,6818
2020-07-02T11:28:56Z,1611,4548
2020-07-13T22:00:37.154767Z,1740,4705
2021-07-17T14:59:48.986172Z,6650,12019
2021-01-21T21:13:48.984135Z,3602,7388
2021-08-12T16:31:09.080626Z,2554,13253
2021-01-26T22:56:27.415757Z,3674,7486
2021-07-01T16:36:58.897083Z,6143,11436
2021-05-19T14:37:09.420525Z,512,9924
2021-03-08T22:38:58.437194Z,2635,8407
2021-05-03T21:50:22.140587Z,833,9626
2020-04-21T23:35:30Z,789,3499
2020-08-20T21:04:49.474918Z,1958,5049
2021-01-08T23:00:46.283339Z,3324,7105
2021-08-10T13:38:09.064346Z,3111,13114
2021-04-29T15:05:10.109458Z,1989,9536
2020-10-30T23:37:13.86263Z,2636,6024
2021-04-02T20:54:26.594505Z,1300,8890
2021-03-10T16:00:30.930842Z,1948,8453
2021-07-10T14:26:04.507715Z,6403,11761
2021-07-02T15:22:23.761225Z,6174,11474
2021-05-05T16:55:36.910382Z,4951,9673
2020-12-21T16:27:15.845915Z,3120,6756
2021-06-30T15:57:05.331083Z,6097,11373
2021-08-16T18:56:59.835698Z,7736,13443
2021-08-24T16:58:10.942997Z,8033,13818
2021-04-05T17:56:38.790327Z,4485,8943
2021-08-29T17:07:23.40895Z,4455,13983
2021-06-24T20:20:23.332621Z,4234,11163
2021-03-31T15:55:06.187568Z,3363,8854
2021-08-12T16:59:25.039621Z,7687,13259
2020-04-21T11:31:02Z,783,3495
2020-10-27T19:47:06.352668Z,2596,5961
2021-03-24T17:34:56.572606Z,4361,8729
2021-08-13T14:52:49.764415Z,7732,13303
2021-06-18T11:39:41.890511Z,5050,10795
2021-04-22T16:24:23.960735Z,795,9386
2020-06-03T11:41:19Z,914,4151
2020-06-24T14:10:28Z,309,4433
2020-08-24T22:00:08.446736Z,543,5100
2021-01-25T22:08:36.173044Z,3652,7453
2021-01-19T19:36:09.107322Z,601,7313
2021-08-05T05:03:22.872855Z,7155,12878
2020-11-23T15:47:30.494691Z,463,6285
2020-09-11T16:58:17.388759Z,2120,5291
2021-04-20T19:53:30.415794Z,4704,9334
2020-07-10T15:34:27.74138Z,1701,4668
2021-07-13T23:46:05.471512Z,2635,11869
2021-07-23T18:14:57.733898Z,6899,12290
2021-01-26T21:20:31.141256Z,567,7479
2021-04-27T20:30:46.26248Z,4805,9506
2020-07-31T19:53:50.119Z,1386,4897
2020-04-22T16:38:45Z,642,3505
2021-06-17T14:45:27.93534Z,5349,10748
2020-07-03T15:51:07Z,1601,4574
2020-08-13T19:01:55.293257Z,1916,4995
2021-03-04T21:44:20.364104Z,3680,8314
2021-08-20T15:37:13.491314Z,7989,13645
2020-09-12T02:19:49.930746Z,2139,5322
2021-01-05T05:07:09.978775Z,3296,6975
2021-07-26T15:55:35.390252Z,7016,12389
2021-02-26T17:17:40.694857Z,4071,8172
2021-06-23T00:53:27.207201Z,5453,10962
2020-07-14T21:01:36.693096Z,911,4725
2020-11-17T21:26:02.440673Z,914,6228
2020-12-30T18:18:50.212411Z,3249,6921
2021-08-03T03:43:13.055665Z,5166,12756
2021-06-24T23:56:14.381319Z,5948,11178
2020-05-22T17:03:05Z,66,3987
2021-08-09T17:19:56.658858Z,7533,13071
2021-05-14T19:54:12.958814Z,837,9844
2020-12-09T17:35:42.552419Z,3007,6575
2021-03-01T17:53:28.202322Z,4103,8213
2021-04-09T18:06:47.366931Z,1846,9041
2021-01-29T18:53:59.64913Z,3714,7565
2020-11-13T14:27:01.647141Z,2742,6188
2020-10-13T21:11:11.392477Z,2467,5790
2021-06-05T01:26:41.884019Z,4377,10410
2020-06-08T12:41:51Z,1300,4232
2021-08-24T17:36:14.147905Z,2890,13820
2021-03-11T10:33:41.024072Z,3592,8474
2020-12-11T17:47:27.72811Z,3024,6612
2020-04-25T22:05:03Z,584,3549
2021-06-28T15:14:44.021504Z,3798,11259
2021-04-21T20:39:32.798909Z,4733,11126
2021-02-04T20:19:08.376427Z,3114,7692
2021-08-09T22:44:35.769659Z,3778,13088
2020-10-29T00:51:42.686119Z,2614,5994
2021-01-28T23:18:41.646016Z,3692,7545
2021-08-16T20:33:39.355324Z,5152,13453
2021-04-14T18:43:44.418187Z,4610,9177
2020-12-02T17:41:37.592705Z,2902,6447
2021-07-01T16:41:08.058476Z,6144,11438
2021-08-10T20:57:17.447653Z,5022,13156
2021-02-15T21:25:37.40838Z,3941,7898
2020-11-25T17:30:48.82704Z,230,6339
2020-06-22T12:50:14Z,486,4396
2020-09-16T02:51:54.841478Z,2281,5504
2021-08-02T15:36:39.029132Z,4071,12709
2020-05-09T12:18:57Z,935,3753
2020-11-04T19:30:15.441625Z,443,6070
2021-03-24T16:47:44.284935Z,4355,8720
2021-04-30T21:31:17.054557Z,4237,9571
2021-06-10T16:21:23.439038Z,5626,10569
2020-11-17T17:10:38.746294Z,2760,6208
2020-12-11T20:38:02.280335Z,3029,6616
2021-07-19T00:03:57.570578Z,6,12057
2021-08-10T17:47:17.581786Z,7597,13146
2021-07-27T23:05:39.482116Z,7067,12469
2021-07-26T16:20:39.46397Z,7018,12393
2021-06-02T15:11:07.577049Z,5431,10326
2021-08-19T16:08:31.890051Z,7937,13562
2021-08-23T17:41:08.492463Z,8075,13763
2021-02-22T16:18:34.558839Z,274,8044
2021-07-07T21:31:35.490892Z,6334,11657
2021-01-16T20:19:05.118847Z,3280,7274
2021-08-04T15:58:17.377094Z,6298,12824
2021-07-23T23:25:14.180782Z,1673,12311
2020-07-06T17:04:52Z,1653,4607
2021-07-22T16:19:38.941887Z,6741,12222
2021-03-05T23:40:12.343286Z,4180,8350
2021-08-16T16:44:33.543318Z,530,13417
2020-11-02T15:01:05.869433Z,2640,6028
2021-08-23T20:39:12.525852Z,5495,13770
2020-05-31T03:21:56Z,1088,4106
2021-06-25T19:43:51.745246Z,4301,11200
2020-11-18T16:20:56.436886Z,2771,6233
2021-04-15T15:02:48.260098Z,274,9202
2021-08-25T17:27:26.746434Z,8138,13850
2020-06-30T16:32:18Z,1573,4516
2021-08-21T09:19:52.595285Z,4184,13690
2021-04-13T19:26:19.041343Z,3892,9142
2020-06-09T15:25:04Z,1315,4245
2021-04-29T20:44:17.139177Z,771,9549
2020-12-18T19:15:28.734401Z,408,6726
2020-12-14T18:45:35.791755Z,3054,6648
2020-10-22T22:06:22.889174Z,771,5898
2021-05-10T23:28:30.914354Z,3601,9761
2021-08-18T20:04:06.870541Z,7915,13539
2021-03-11T18:35:01.308659Z,3775,8486
2020-11-20T03:07:22.31127Z,2781,6249
2021-07-22T16:17:02.186199Z,5915,12221
2021-08-13T01:55:27.44166Z,6740,13293
2021-03-03T16:29:09.041376Z,4134,8264
2021-04-12T18:36:52.910188Z,1949,9083
2021-01-06T15:11:21.582662Z,3331,7010
2021-03-16T21:37:35.103087Z,4284,8568
2020-09-08T21:01:08.072502Z,1266,5257
2020-09-23T01:35:38.407019Z,2357,5607
2021-01-06T19:31:00.402083Z,530,7023
2021-06-08T15:25:31.555587Z,5569,10504
2021-01-26T23:06:24.890967Z,3577,7487
2021-08-30T21:32:04.69985Z,4656,14034
2021-08-25T16:37:24.693154Z,4177,13846
2021-05-12T21:35:05.945865Z,4923,9808
2020-11-10T18:39:49.613154Z,2717,6151
2021-03-22T17:33:01.036894Z,1774,8663
2021-01-22T16:28:13.167357Z,3610,7399
2021-03-29T17:16:43.419382Z,3690,8819
2021-06-07T15:16:49.707932Z,4331,10462
2021-03-22T17:02:55.721512Z,4329,8661
2021-05-26T22:49:53.346215Z,5180,10133
2020-05-12T11:12:04Z,955,3792
2021-01-08T21:58:58.386905Z,3402,7104
2021-03-10T17:08:33.584663Z,404,8455
2020-10-22T23:47:01.708675Z,2557,5903
2021-08-25T19:58:33.646572Z,8115,13857
2021-05-10T17:19:30.343648Z,4071,9754
2020-10-14T22:37:30.154194Z,1998,5801
2021-05-03T20:33:28.156693Z,3523,9624
2021-08-14T00:02:40.641927Z,4733,13341
